,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred
0,4,3,"['NumPy', 'Reinforcement Learning', 'PyTorch', 'Scikit-learn', 'GCP', 'FastAPI']",1,3,7,92860,2025-08,0,"['KDB+', 'LangChain']"
1,6,2,"['Scikit-learn', 'CUDA', 'SQL', 'Pandas']",2,3,39,78523,2024-03,0,"['FastAPI', 'KDB+', 'TensorFlow']"
2,6,7,"['MLflow', 'FastAPI', 'Azure', 'PyTorch', 'SQL', 'GCP']",0,3,35,124496,2025-09,0,"['BigQuery', 'PyTorch', 'Scikit-learn']"
3,6,0,"['Scikit-learn', 'C++', 'Pandas', 'LangChain', 'AWS', 'R']",1,3,55,50908,2024-05,0,"['TensorFlow', 'BigQuery', 'MLflow']"
4,3,4,"['Excel', 'Keras', 'SQL', 'Hugging Face']",2,0,126,98694,2025-02,0,"['PyTorch', 'LangChain']"
5,1,0,"['GCP', 'Excel', 'Scikit-learn', 'MLflow']",2,1,179,92632,2025-08,0,"['PyTorch', 'TensorFlow', 'FastAPI']"
6,0,3,"['Python', 'Flask', 'Scikit-learn', 'GCP']",1,3,101,70575,2024-12,0,"['PyTorch', 'MLflow']"
7,2,4,"['Excel', 'SQL', 'Flask']",0,2,148,63032,2024-08,0,['BigQuery']
8,4,5,"['Pandas', 'LangChain', 'GCP', 'Azure']",0,2,60,134239,2025-09,0,"['Scikit-learn', 'LangChain', 'BigQuery']"
9,0,2,"['Excel', 'Reinforcement Learning', 'TensorFlow']",2,3,11,79361,2025-08,0,"['MLflow', 'TensorFlow']"
10,6,4,"['Keras', 'MLflow', 'Reinforcement Learning']",0,2,104,99964,2024-01,0,"['LangChain', 'BigQuery', 'Scikit-learn']"
11,3,5,"['Excel', 'Reinforcement Learning', 'Keras', 'Scikit-learn']",0,3,103,63583,2024-03,0,"['TensorFlow', 'PyTorch', 'BigQuery']"
12,1,6,"['C++', 'Hugging Face', 'Python', 'FastAPI']",0,3,57,102770,2023-09,2,['LangChain']
