industry,job_title,skills_required,experience_level,employment_type,posted_date,company_size,tools_preferred,salary_min,country
Education,Data Scientist,"['PyTorch', 'TensorFlow', 'AWS', 'C++', 'GCP']",Entry,Internship,2023-09-21,Startup,"['KDB+', 'MLflow', 'FastAPI']",135994,SK
Retail,AI Product Manager,"['TensorFlow', 'GCP', 'CUDA', 'R']",Entry,Contract,2023-09-21,Large,['LangChain'],113791,AE
Education,Quant Researcher,"['Hugging Face', 'Flask', 'Scikit-learn', 'GCP']",Mid,Internship,2023-09-21,Large,"['MLflow', 'FastAPI']",149745,US
Healthcare,Data Scientist,"['Hugging Face', 'Scikit-learn', 'C++', 'Excel', 'Azure']",Entry,Full-time,2023-09-22,Mid,"['LangChain', 'KDB+']",112660,ID
E-commerce,Quant Researcher,"['PyTorch', 'Pandas', 'TensorFlow', 'Azure', 'NumPy']",Entry,Remote,2023-09-22,Mid,"['KDB+', 'Scikit-learn']",72703,BG
Finance,Data Analyst,"['Flask', 'FastAPI', 'CUDA', 'AWS']",Entry,Full-time,2023-09-22,Startup,['LangChain'],65884,SA
Healthcare,AI Researcher,"['TensorFlow', 'R', 'FastAPI', 'Pandas', 'Power BI']",Mid,Contract,2023-09-23,Large,"['MLflow', 'Scikit-learn']",49163,ER
Finance,AI Researcher,"['PyTorch', 'Hugging Face', 'GCP', 'Keras', 'TensorFlow', 'AWS']",Mid,Remote,2023-09-23,Large,['Scikit-learn'],57791,PY
Finance,Quant Researcher,"['Python', 'R', 'TensorFlow', 'AWS', 'Hugging Face', 'GCP']",Entry,Contract,2023-09-23,Mid,"['BigQuery', 'KDB+', 'MLflow']",47248,IE
Tech,Quant Researcher,"['Hugging Face', 'MLflow', 'CUDA']",Entry,Contract,2023-09-24,Large,"['KDB+', 'PyTorch']",56022,MR
Education,Data Scientist,"['MLflow', 'FastAPI', 'GCP']",Entry,Contract,2023-09-24,Large,"['TensorFlow', 'FastAPI', 'BigQuery']",47522,PW
Finance,AI Product Manager,"['TensorFlow', 'C++', 'SQL', 'Hugging Face', 'Flask', 'Power BI']",Mid,Internship,2023-09-25,Startup,['BigQuery'],64238,TR
Retail,Data Scientist,"['LangChain', 'Hugging Face', 'Excel', 'Reinforcement Learning', 'Python']",Entry,Internship,2023-09-25,Large,"['TensorFlow', 'BigQuery']",90879,DM
Finance,Quant Researcher,"['Pandas', 'Keras', 'Python', 'NumPy', 'GCP']",Senior,Remote,2023-09-26,Large,"['PyTorch', 'MLflow']",40077,IN
Healthcare,Quant Researcher,"['Hugging Face', 'LangChain', 'Keras', 'NumPy']",Mid,Full-time,2023-09-26,Startup,"['FastAPI', 'KDB+']",70970,CO
Retail,AI Product Manager,"['CUDA', 'SQL', 'Azure', 'MLflow', 'Python', 'GCP']",Mid,Contract,2023-09-26,Startup,['KDB+'],72838,CH
Tech,Computer Vision Engineer,"['PyTorch', 'Python', 'Flask']",Mid,Internship,2023-09-26,Large,"['TensorFlow', 'KDB+']",101687,UA
Healthcare,Computer Vision Engineer,"['Python', 'C++', 'NumPy', 'Reinforcement Learning', 'GCP']",Mid,Internship,2023-09-26,Large,"['MLflow', 'TensorFlow']",99962,MD
Retail,Computer Vision Engineer,"['Scikit-learn', 'Flask', 'PyTorch', 'SQL']",Senior,Remote,2023-09-26,Large,"['BigQuery', 'TensorFlow']",132851,CN
E-commerce,NLP Engineer,"['C++', 'Hugging Face', 'Python', 'FastAPI']",Entry,Full-time,2023-09-27,Startup,['LangChain'],102770,FM
E-commerce,AI Product Manager,"['TensorFlow', 'Keras', 'PyTorch', 'AWS', 'Scikit-learn']",Entry,Full-time,2023-09-27,Large,['BigQuery'],133185,IT
Automotive,Quant Researcher,"['PyTorch', 'AWS', 'SQL']",Senior,Remote,2023-09-27,Mid,"['FastAPI', 'BigQuery']",82486,MT
Tech,AI Product Manager,"['PyTorch', 'Scikit-learn', 'C++']",Mid,Internship,2023-09-27,Large,['MLflow'],134410,SD
Education,Computer Vision Engineer,"['FastAPI', 'NumPy', 'Excel', 'Flask']",Mid,Remote,2023-09-28,Mid,"['PyTorch', 'Scikit-learn', 'TensorFlow']",136245,BE
Finance,Quant Researcher,"['FastAPI', 'TensorFlow', 'Hugging Face', 'SQL', 'Azure', 'Reinforcement Learning']",Entry,Internship,2023-09-28,Startup,"['Scikit-learn', 'MLflow', 'FastAPI']",58608,VA
Finance,Data Scientist,"['R', 'FastAPI', 'AWS']",Mid,Internship,2023-09-29,Large,"['PyTorch', 'LangChain']",98664,ID
E-commerce,AI Researcher,"['LangChain', 'Hugging Face', 'Scikit-learn', 'Flask', 'Reinforcement Learning', 'Excel']",Mid,Remote,2023-09-29,Startup,"['TensorFlow', 'PyTorch', 'Scikit-learn']",96395,EG
E-commerce,AI Product Manager,"['MLflow', 'TensorFlow', 'Power BI', 'CUDA', 'NumPy', 'PyTorch']",Entry,Internship,2023-09-29,Startup,['BigQuery'],121197,PW
E-commerce,Data Analyst,"['Power BI', 'NumPy', 'LangChain', 'CUDA', 'Reinforcement Learning', 'Excel']",Senior,Contract,2023-09-30,Large,"['Scikit-learn', 'BigQuery']",102113,AT
E-commerce,Data Scientist,"['Excel', 'Azure', 'FastAPI', 'LangChain', 'GCP']",Entry,Remote,2023-09-30,Large,"['Scikit-learn', 'LangChain', 'FastAPI']",40926,ZM
Retail,Quant Researcher,"['Azure', 'C++', 'Reinforcement Learning']",Entry,Contract,2023-10-01,Mid,"['BigQuery', 'Scikit-learn', 'LangChain']",42773,HN
E-commerce,AI Researcher,"['Python', 'Keras', 'AWS', 'CUDA', 'NumPy', 'R']",Entry,Full-time,2023-10-01,Large,"['PyTorch', 'FastAPI', 'KDB+']",92121,CO
Healthcare,Computer Vision Engineer,"['AWS', 'GCP', 'CUDA', 'MLflow']",Senior,Full-time,2023-10-01,Startup,"['LangChain', 'KDB+', 'FastAPI']",142291,ML
E-commerce,Data Analyst,"['Power BI', 'GCP', 'Hugging Face']",Entry,Remote,2023-10-02,Startup,"['Scikit-learn', 'BigQuery']",131943,LI
Tech,AI Product Manager,"['FastAPI', 'CUDA', 'C++', 'PyTorch']",Senior,Full-time,2023-10-02,Large,"['FastAPI', 'MLflow', 'TensorFlow']",136510,GW
Healthcare,Computer Vision Engineer,"['Keras', 'GCP', 'SQL']",Senior,Remote,2023-10-03,Mid,"['BigQuery', 'FastAPI']",91427,EG
Finance,NLP Engineer,"['GCP', 'Pandas', 'R', 'Excel', 'Azure', 'PyTorch']",Mid,Internship,2023-10-03,Startup,"['PyTorch', 'FastAPI', 'LangChain']",96520,MN
Retail,ML Engineer,"['Keras', 'C++', 'LangChain', 'AWS', 'Python', 'GCP']",Mid,Internship,2023-10-03,Large,['KDB+'],99985,IQ
Automotive,Data Scientist,"['R', 'CUDA', 'C++', 'Excel']",Mid,Remote,2023-10-03,Startup,"['Scikit-learn', 'BigQuery', 'LangChain']",93170,RU
E-commerce,Quant Researcher,"['Pandas', 'Excel', 'Flask', 'LangChain', 'Scikit-learn', 'TensorFlow']",Mid,Full-time,2023-10-03,Large,"['KDB+', 'LangChain', 'PyTorch']",80973,GW
Finance,AI Researcher,"['AWS', 'NumPy', 'LangChain', 'Scikit-learn', 'FastAPI']",Senior,Remote,2023-10-03,Mid,"['TensorFlow', 'Scikit-learn', 'PyTorch']",132214,SK
Healthcare,Computer Vision Engineer,"['NumPy', 'R', 'CUDA', 'MLflow', 'Azure', 'PyTorch']",Mid,Full-time,2023-10-03,Mid,"['BigQuery', 'KDB+']",45671,NR
E-commerce,Data Scientist,"['Pandas', 'FastAPI', 'Azure', 'Flask', 'Python', 'SQL']",Mid,Contract,2023-10-03,Large,['PyTorch'],115624,DJ
Retail,NLP Engineer,"['Scikit-learn', 'MLflow', 'AWS']",Entry,Internship,2023-10-03,Mid,"['Scikit-learn', 'MLflow']",141773,LV
Retail,AI Researcher,"['SQL', 'Pandas', 'Excel']",Entry,Internship,2023-10-03,Large,"['LangChain', 'KDB+']",51913,AF
Finance,Data Scientist,"['Keras', 'FastAPI', 'AWS', 'SQL', 'Excel', 'C++']",Mid,Contract,2023-10-04,Mid,"['LangChain', 'MLflow']",96034,ER
Automotive,AI Researcher,"['Flask', 'Keras', 'TensorFlow', 'CUDA', 'C++']",Mid,Contract,2023-10-04,Mid,"['TensorFlow', 'FastAPI', 'BigQuery']",102123,MY
Tech,Computer Vision Engineer,"['CUDA', 'C++', 'Power BI', 'FastAPI']",Senior,Full-time,2023-10-04,Mid,"['FastAPI', 'KDB+']",67314,HR
Retail,AI Product Manager,"['LangChain', 'PyTorch', 'Scikit-learn', 'NumPy', 'SQL', 'Flask']",Entry,Internship,2023-10-05,Startup,"['Scikit-learn', 'KDB+']",139236,TN
Automotive,Data Analyst,"['MLflow', 'Keras', 'C++', 'Reinforcement Learning']",Mid,Internship,2023-10-05,Startup,"['LangChain', 'FastAPI']",141368,AO
Healthcare,Quant Researcher,"['Hugging Face', 'MLflow', 'Reinforcement Learning']",Entry,Contract,2023-10-06,Large,['LangChain'],54193,WS
Retail,Computer Vision Engineer,"['Hugging Face', 'GCP', 'R', 'Scikit-learn']",Mid,Full-time,2023-10-06,Large,"['MLflow', 'TensorFlow', 'KDB+']",124909,ES
Automotive,Data Scientist,"['Keras', 'PyTorch', 'Flask']",Entry,Internship,2023-10-06,Large,['KDB+'],104387,HR
Healthcare,Computer Vision Engineer,"['Azure', 'PyTorch', 'R', 'Reinforcement Learning', 'Flask', 'Keras']",Mid,Full-time,2023-10-07,Mid,['Scikit-learn'],55923,MV
E-commerce,NLP Engineer,"['LangChain', 'SQL', 'NumPy', 'R', 'Power BI']",Entry,Internship,2023-10-07,Startup,"['FastAPI', 'MLflow', 'Scikit-learn']",122910,GB
Healthcare,AI Researcher,"['Pandas', 'Azure', 'Hugging Face', 'Python']",Senior,Internship,2023-10-07,Mid,"['MLflow', 'KDB+', 'FastAPI']",143939,BR
E-commerce,NLP Engineer,"['FastAPI', 'NumPy', 'LangChain', 'Scikit-learn', 'Power BI']",Senior,Internship,2023-10-07,Mid,"['MLflow', 'PyTorch']",110485,JM
Retail,Data Scientist,"['Azure', 'Excel', 'Keras', 'SQL', 'Reinforcement Learning', 'Power BI']",Senior,Contract,2023-10-10,Startup,"['TensorFlow', 'BigQuery', 'Scikit-learn']",112616,LU
Healthcare,Quant Researcher,"['MLflow', 'PyTorch', 'NumPy', 'TensorFlow']",Mid,Remote,2023-10-11,Large,"['MLflow', 'TensorFlow']",66473,HN
Automotive,ML Engineer,"['Azure', 'R', 'Hugging Face', 'SQL', 'MLflow', 'Flask']",Entry,Internship,2023-10-11,Large,"['TensorFlow', 'LangChain']",114398,CV
Education,Computer Vision Engineer,"['TensorFlow', 'Scikit-learn', 'NumPy', 'C++', 'FastAPI']",Senior,Internship,2023-10-11,Mid,"['KDB+', 'PyTorch', 'Scikit-learn']",46931,IR
Healthcare,NLP Engineer,"['LangChain', 'TensorFlow', 'Azure']",Mid,Internship,2023-10-12,Large,"['MLflow', 'BigQuery']",106546,RO
Healthcare,NLP Engineer,"['Azure', 'GCP', 'Hugging Face']",Entry,Full-time,2023-10-12,Mid,['LangChain'],111527,SG
Education,AI Product Manager,"['SQL', 'MLflow', 'R']",Senior,Remote,2023-10-13,Startup,['Scikit-learn'],85915,CL
Healthcare,AI Product Manager,"['C++', 'Reinforcement Learning', 'NumPy', 'LangChain']",Mid,Internship,2023-10-13,Large,['FastAPI'],92256,BB
E-commerce,AI Product Manager,"['NumPy', 'Hugging Face', 'CUDA', 'Flask']",Mid,Internship,2023-10-13,Startup,"['TensorFlow', 'BigQuery']",109096,PW
Retail,Quant Researcher,"['Reinforcement Learning', 'TensorFlow', 'Azure', 'CUDA', 'GCP', 'Hugging Face']",Mid,Full-time,2023-10-14,Mid,"['Scikit-learn', 'LangChain', 'BigQuery']",71002,SA
Automotive,Data Scientist,"['Azure', 'PyTorch', 'Excel', 'R', 'NumPy']",Entry,Remote,2023-10-15,Startup,"['PyTorch', 'Scikit-learn', 'KDB+']",58623,MM
